nH_cm-3,T_K
9.999999999999999547e-07,1.096478196143185050e+04
1.584893192461114080e-06,1.412537544622755377e+04
2.511886431509582273e-06,1.778279410038922651e+04
3.981071705534969119e-06,2.238721138568337847e+04
6.309573444801929638e-06,2.754228703338168998e+04
1.000000000000000082e-05,3.235936569296280868e+04
1.584893192461114123e-05,3.467368504525316530e+04
2.511886431509582188e-05,3.467368504525316530e+04
3.981071705534969458e-05,3.235936569296280868e+04
6.309573444801929300e-05,3.090295432513592095e+04
1.000000000000000048e-04,2.691534803926913810e+04
1.584893192461114190e-04,2.398832919019489782e+04
2.511886431509579545e-04,2.089296130854040894e+04
3.981071705534973523e-04,1.905460717963248317e+04
6.309573444801929842e-04,1.737800828749376160e+04
1.000000000000000021e-03,1.584893192461114086e+04
1.584893192461114082e-03,1.479108388168207239e+04
2.511886431509579437e-03,1.380384264602883741e+04
3.981071705534973415e-03,1.318256738556407436e+04
6.309573444801930275e-03,1.258925411794166212e+04
1.000000000000000021e-02,1.202264434617413099e+04
1.584893192461113431e-02,1.148153621496881715e+04
2.511886431509579437e-02,1.096478196143185050e+04
3.981071705534973415e-02,1.071519305237607114e+04
6.309573444801933051e-02,1.023292992280753606e+04
1.000000000000000056e-01,1.000000000000000000e+04
1.584893192461113431e-01,9.772372209558112445e+03
2.511886431509580131e-01,9.332543007969914470e+03
3.981071705534972027e-01,9.120108393559095930e+03
6.309573444801932496e-01,8.912509381337458763e+03
1.000000000000000000e+00,8.709635899560806138e+03
