nH_cm-3,T_pct25_K,T_pct75_K
2.818382931264455128e-06,4.452593008088339411e+04,5.618740826213515538e+04
5.623413251903491208e-06,2.267206092743772388e+04,2.914096974472214060e+04
1.122018454301963009e-05,2.869696711167331159e+04,3.695472714365856518e+04
2.238721138568337924e-05,3.363574102390290500e+04,3.890469366175088362e+04
4.466835921509634821e-05,3.463394795568521658e+04,4.120984679880273325e+04
8.912509381337458780e-05,2.853494238497473998e+04,4.613929985563948867e+04
1.778279410038922698e-04,2.375707671026931712e+04,4.588914858651655231e+04
3.548133892335753221e-04,1.901914546153174160e+04,2.495646103481811224e+04
7.079457843841380172e-04,1.596511311787119848e+04,1.915128855952855156e+04
1.412537544622753964e-03,1.352122376305920807e+04,1.490568709020103051e+04
2.818382931264454792e-03,1.159372513854792123e+04,1.241969698271589914e+04
5.623413251903490971e-03,9.692593519216849018e+03,1.092551707235410322e+04
1.122018454301963557e-02,8.894919048901407223e+03,9.498630635656032609e+03
2.238721138568339902e-02,9.570199694870778330e+03,1.009422544352594923e+04
4.466835921509629964e-02,9.969147001552106303e+03,1.034344001078913425e+04
8.912509381337455072e-02,9.945508662587904837e+03,1.020803146409711735e+04
1.778279410038922925e-01,9.754836620887082972e+03,9.993946034470298400e+03
3.548133892335754713e-01,9.396151271479729985e+03,9.683313667515698398e+03
7.079457843841379105e-01,7.395405637342621048e+03,8.847305014266452417e+03
