r_arcmin,NHI_cm-2,NHI_lower_cm-2,NHI_upper_cm-2
1.572568253223510237e-01,1.544501050882426470e+19,1.360727210704489882e+19,1.733937944228261274e+19
1.885868816921217328e-01,1.518242411562465280e+19,1.330264747911243981e+19,1.713873605915960525e+19
2.261540996088403921e-01,1.476078219164390810e+19,1.286197245192924160e+19,1.675455669681433190e+19
2.712020419527775839e-01,1.427201506759966106e+19,1.229982239678812570e+19,1.637947412627486720e+19
3.252164128990057690e-01,1.364823717605064090e+19,1.163336749863826022e+19,1.592458807304652186e+19
3.899805660381557848e-01,1.290871962663746560e+19,1.058682541069625958e+19,1.522858222349103718e+19
4.676274430363699941e-01,1.200916434106287718e+19,9.424465697755844608e+18,1.456299625923464397e+19
5.582903164666818130e-01,1.092897726280809677e+19,8.117206834181502976e+18,1.377391330538324992e+19
6.693999173462836794e-01,9.782792423040309248e+18,6.726527001275541504e+18,1.288484783691660698e+19
8.025724420688539196e-01,8.472121587497441280e+18,5.275357257566978048e+18,1.166130806150740582e+19
9.621391383932172969e-01,6.943816415356130304e+18,3.830246161749403136e+18,1.004348142568407040e+19
1.153215864853347039e+00,5.153975579415449600e+18,2.344475638610074112e+18,8.008085206980683776e+18
1.381996423362455984e+00,3.483508605921248768e+18,6.784145307789664000e+17,6.280527228994195456e+18
1.656026450666492567e+00,2.252956395024524032e+18,5.747184856841086720e+17,5.147568719285004288e+18
1.984700803046730577e+00,1.582608964311258368e+18,5.775423355178302720e+17,4.265725072669575168e+18
