r_arcmin,NHI_intrinsic_cm-2,NHI_conv_FAST_cm-2,NHI_conv_FASTdiv2_cm-2
3.038647731015257092e-01,1.933525882560663519e+22,5.657514639149065011e+19,1.825047885702184632e+20
3.216392460676893439e-01,1.880001431711766282e+21,5.637948461097465446e+19,1.802927299309385810e+20
3.482491069924285032e-01,7.584983318696444559e+20,5.606719662280757248e+19,1.768020536807115325e+20
3.999102839561788914e-01,1.239366291621517230e+20,5.539603314199481549e+19,1.694642890010723942e+20
5.072236015574077550e-01,3.987702310983366246e+19,5.374119044389771674e+19,1.523081899968801669e+20
7.490666597187385367e-01,1.259389650484746035e+19,4.888927304636571648e+19,1.091960838920336835e+20
1.427545283341213000e+00,1.266084931506532352e+18,3.088984957502020813e+19,2.216724752925833216e+19
2.698152698957306139e+00,1.351923664066142880e+17,6.143438515181322240e+18,3.761155238634684160e+17
4.071477343717279318e+00,7.917816818945614000e+15,3.946447889226599680e+17,2.913796291867393200e+16
6.056352469662046545e+00,9.319430845194522500e+14,5.184432903192080000e+15,1.670965662409781750e+15
9.004635288641093638e+00,7.784111174497187500e+13,2.088035739545813750e+14,1.422235118675760625e+14
1.345680457454928103e+01,1.503812117549609375e+13,1.377152968749274023e+13,1.074276182747178711e+13
