r_arcmin,simulation,galaxyID,MHI_Msun,log_ratio_FAST,log_ratio_FASTdiv2
0.15725683,FIREbox,1992,1901472.9517,0.000000,0.000000
0.18858688,FIREbox,1992,1901472.9517,0.006854,0.005568
0.22615410,FIREbox,1992,1901472.9517,0.017082,0.011417
0.27120204,FIREbox,1992,1901472.9517,0.028745,0.016628
0.32521641,FIREbox,1992,1901472.9517,0.043855,0.022407
0.38998057,FIREbox,1992,1901472.9517,0.061923,0.027211
0.46762744,FIREbox,1992,1901472.9517,0.084611,0.031066
0.55829032,FIREbox,1992,1901472.9517,0.113615,0.033814
0.66939992,FIREbox,1992,1901472.9517,0.143575,0.025080
0.80257244,FIREbox,1992,1901472.9517,0.180195,0.007457
0.96213914,FIREbox,1992,1901472.9517,0.229923,-0.019449
1.15321586,FIREbox,1992,1901472.9517,0.307173,-0.054852
1.38199642,FIREbox,1992,1901472.9517,0.401811,-0.121029
1.65602645,FIREbox,1992,1901472.9517,0.484746,-0.228415
1.98470080,FIREbox,1992,1901472.9517,0.489290,-0.489126
0.15725683,FIREbox,2059,7770379.5991,0.000000,0.000000
0.18858688,FIREbox,2059,7770379.5991,0.006710,0.004905
0.22615410,FIREbox,2059,7770379.5991,0.016836,0.009840
0.27120204,FIREbox,2059,7770379.5991,0.028408,0.013885
0.32521641,FIREbox,2059,7770379.5991,0.043321,0.017779
0.38998057,FIREbox,2059,7770379.5991,0.061100,0.019881
0.46762744,FIREbox,2059,7770379.5991,0.083367,0.019881
0.55829032,FIREbox,2059,7770379.5991,0.111831,0.017340
0.66939992,FIREbox,2059,7770379.5991,0.141118,0.000881
0.80257244,FIREbox,2059,7770379.5991,0.176545,-0.027803
0.96213914,FIREbox,2059,7770379.5991,0.224577,-0.070042
1.15321586,FIREbox,2059,7770379.5991,0.299492,-0.127482
1.38199642,FIREbox,2059,7770379.5991,0.390717,-0.239080
1.65602645,FIREbox,2059,7770379.5991,0.468658,-0.385851
1.98470080,FIREbox,2059,7770379.5991,0.466876,-0.700147
0.15725683,FIREbox,2028,7932664.5884,0.000000,0.000000
0.18858688,FIREbox,2028,7932664.5884,0.006817,0.005531
0.22615410,FIREbox,2028,7932664.5884,0.017070,0.011725
0.27120204,FIREbox,2028,7932664.5884,0.028794,0.017505
0.32521641,FIREbox,2028,7932664.5884,0.043967,0.024032
0.38998057,FIREbox,2028,7932664.5884,0.062121,0.029887
0.46762744,FIREbox,2028,7932664.5884,0.084926,0.035227
0.55829032,FIREbox,2028,7932664.5884,0.114141,0.040163
0.66939992,FIREbox,2028,7932664.5884,0.144393,0.034446
0.80257244,FIREbox,2028,7932664.5884,0.181377,0.020905
0.96213914,FIREbox,2028,7932664.5884,0.231616,-0.000186
1.15321586,FIREbox,2028,7932664.5884,0.309637,-0.026571
1.38199642,FIREbox,2028,7932664.5884,0.405402,-0.084259
1.65602645,FIREbox,2028,7932664.5884,0.489643,-0.181847
1.98470080,FIREbox,2028,7932664.5884,0.496163,-0.427661
0.15725683,FIREbox,1927,14972296.8475,0.000000,0.000000
0.18858688,FIREbox,1927,14972296.8475,0.007064,0.006206
0.22615410,FIREbox,1927,14972296.8475,0.017263,0.011818
0.27120204,FIREbox,1927,14972296.8475,0.028855,0.016602
0.32521641,FIREbox,1927,14972296.8475,0.043932,0.021972
0.38998057,FIREbox,1927,14972296.8475,0.061968,0.026228
0.46762744,FIREbox,1927,14972296.8475,0.084632,0.029294
0.55829032,FIREbox,1927,14972296.8475,0.113257,0.030290
0.66939992,FIREbox,1927,14972296.8475,0.143058,0.019939
0.80257244,FIREbox,1927,14972296.8475,0.179493,-0.000077
0.96213914,FIREbox,1927,14972296.8475,0.228942,-0.031372
1.15321586,FIREbox,1927,14972296.8475,0.305549,-0.076236
1.38199642,FIREbox,1927,14972296.8475,0.399324,-0.137225
1.65602645,FIREbox,1927,14972296.8475,0.481545,-0.255483
1.98470080,FIREbox,1927,14972296.8475,0.483715,-0.549722
0.15725683,NIVARIA-LG,NA,NA,0.000000,0.000000
0.18858688,NIVARIA-LG,NA,NA,0.007447,0.007447
0.22615410,NIVARIA-LG,NA,NA,0.019679,0.019679
0.27120204,NIVARIA-LG,NA,NA,0.034303,0.034303
0.32521641,NIVARIA-LG,NA,NA,0.051884,0.047284
0.38998057,NIVARIA-LG,NA,NA,0.069768,0.049308
0.46762744,NIVARIA-LG,NA,NA,0.091864,0.048409
0.55829032,NIVARIA-LG,NA,NA,0.119531,0.044892
0.66939992,NIVARIA-LG,NA,NA,0.148884,0.028359
0.80257244,NIVARIA-LG,NA,NA,0.184588,0.009537
0.96213914,NIVARIA-LG,NA,NA,0.230416,-0.000985
1.15321586,NIVARIA-LG,NA,NA,0.305715,-0.026052
1.38199642,NIVARIA-LG,NA,NA,0.400627,-0.167193
1.65602645,NIVARIA-LG,NA,NA,0.505670,-0.164006
1.98470080,NIVARIA-LG,NA,NA,0.538658,-0.171078
